coc_number,coc_name,total_homeless,sheltered_homeless,unsheltered_homeless,homeless_individuals,homeless_people_in_families,chronically_homeless,homeless_veterans,homeless_unacompanied_youth,amount
AK-500,Anchorage CoC,1128,973,155,848,280,116,69,115,3234396.66
AK-501,Alaska Balance of State CoC,717,578,139,506,211,141,55,47,3399648.24
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",1092,875,217,932,160,92,40,125,10247170.38
AL-501,Mobile City & County/Baldwin County CoC,606,341,265,426,180,65,76,18,4339515.91
AL-502,Florence/Northwest Alabama CoC,155,133,22,155,0,24,11,8,753249
AL-503,Huntsville/North Alabama CoC,436,337,99,327,109,64,27,30,816078.75
AL-504,Montgomery City & County CoC,377,314,63,284,93,45,55,23,2433805.02
AL-505,Gadsden/Northeast Alabama CoC,163,103,60,130,33,43,4,20,350000
AL-506,Tuscaloosa City & County CoC,200,137,63,140,60,24,41,31,565554.3
AL-507,Alabama Balance of State CoC,764,416,348,591,173,6,15,39,81553
AR-500,Little Rock/Central Arkansas CoC,1006,456,550,892,114,226,121,75,3405157.34
AR-501,Fayetteville/Northwest Arkansas CoC,330,235,95,235,95,66,46,12,276544.96
AR-503,Arkansas  Balance of State  CoC,822,387,435,738,84,107,32,99,496581
AR-505,Southeast Arkansas,88,88,0,49,39,0,2,13,649805.42
AR-508,Old Fort Homeless Coalition,168,80,88,131,37,71,37,7,124485
AR-512,"Boone, Baxter, Marion, Newton Counties CoC",53,27,26,23,30,3,1,2,0
AZ-500,Arizona Balance of State CoC,1768,1046,722,1434,334,388,238,125,3179976.5
AZ-501,Tucson/Pima County CoC,1574,1189,385,1249,325,225,243,133,9458778.42
AZ-502,Phoenix/Mesa/Maricopa County Regional CoC,5605,3546,2059,3805,1800,939,489,320,32427185.41
CA-500,San Jose/Santa Clara City & County CoC,7394,1946,5448,6319,1075,2097,660,2530,19929733.49
CA-501,San Francisco CoC,6858,2505,4353,6257,601,2138,684,1274,34240917.43
CA-502,Oakland/Alameda County CoC,5629,1766,3863,4918,711,1707,531,991,34633423.39
CA-503,Sacramento City & County CoC,3665,1613,2052,3076,589,1126,469,205,19190640.09
CA-504,Santa Rosa/Petaluma/Sonoma County CoC,2835,988,1847,2509,326,598,211,532,2852244.51
CA-505,Richmond/Contra Costa County CoC,1607,696,911,1352,255,331,99,61,9886950.51
CA-506,"Salinas/Monterey, San Benito Counties CoC",3364,850,2514,2719,645,902,123,627,2945012
CA-507,Marin County CoC,1117,409,708,917,200,359,94,127,3443484.84
CA-508,Watsonville/Santa Cruz City & County CoC,2249,450,1799,1846,403,600,236,586,1783390.29
CA-509,Mendocino County CoC,1238,160,1078,1179,59,97,24,42,1507020
CA-510,Turlock/Modesto/Stanislaus County CoC,1661,840,821,1256,405,178,100,103,2053789.34
CA-511,Stockton/San Joaquin County CoC,1542,975,567,1016,526,254,109,67,5010597
CA-512,Daly/San Mateo County CoC,1253,616,637,822,431,234,105,30,9509814.03
CA-513,"Visalia, Kings, Tulare Counties CoC",853,354,499,732,121,251,45,56,4683623.22
CA-514,Fresno/Madera County CoC,2016,487,1529,1742,274,692,211,101,7917642.02
CA-515,"Roseville/Rocklin/Placer, Nevada Counties CoC",979,521,458,772,207,232,44,66,1187479.1
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",934,530,404,721,213,341,103,68,267387.46
CA-517,Napa City & County CoC,315,199,116,233,82,134,17,23,575105.35
CA-518,Vallejo/Solano County CoC,1232,315,917,1070,162,434,156,210,1796451
CA-519,Chico/Paradise/Butte County CoC,1195,450,745,997,198,531,110,68,568408.9
CA-520,Merced City & County CoC,454,156,298,447,7,120,17,23,508102
CA-521,Davis/Woodland/Yolo County CoC,459,250,209,318,141,174,28,18,573995.82
CA-522,Humboldt County CoC,759,325,434,667,92,310,91,82,1943061.12
CA-523,"Colusa, Glenn, Trinity Counties CoC",176,43,133,118,58,34,12,7,0
CA-524,Yuba City & County/Sutter County CoC,760,287,473,557,203,150,47,32,14980
CA-525,El Dorado County CoC,602,106,496,446,156,241,97,30,457836
CA-526,"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",367,103,264,259,108,71,20,25,410907.48
CA-527,Tehama County CoC,124,68,56,103,21,61,9,2,0
CA-529,Lake County CoC,401,28,373,294,107,178,23,16,350000
CA-530,"Alpine, Inyo, Mono Counties CoC",121,5,116,102,19,31,13,5,3091
CA-600,Los Angeles City & County CoC,55188,13972,41216,47082,8106,16576,4476,5163,119415035.9
CA-601,San Diego City and County CoC,9160,3539,5621,7571,1589,2176,1067,1160,27699726.92
CA-602,Santa Ana/Anaheim/Orange County CoC,4792,2208,2584,3527,1265,893,405,128,19224517.43
CA-603,Santa Maria/Santa Barbara County CoC,1860,967,893,1422,438,226,100,145,1762706.92
CA-604,Bakersfield/Kern County CoC,810,541,269,623,187,289,90,53,5577776.37
CA-606,Long Beach CoC,1863,655,1208,1646,217,694,318,64,12889726.92
CA-607,Pasadena CoC,575,228,347,465,110,202,30,36,2244448.88
CA-608,Riverside City & County CoC,2406,768,1638,2172,234,418,148,257,11463860.14
CA-609,San Bernardino City & County CoC,1866,687,1179,1432,434,441,161,166,8027553.84
CA-611,Oxnard/San Buenaventura/Ventura County CoC,1152,488,664,969,183,385,80,58,1968291.16
CA-612,Glendale CoC,168,111,57,72,96,67,4,1,2678687.52
CA-613,Imperial County CoC,1154,128,1026,1034,120,105,21,24,129600.5
CA-614,San Luis Obispo County CoC,1125,303,822,977,148,282,84,196,597260.91
CO-500,Colorado Balance of State CoC,4019,1511,2508,2568,1451,807,332,240,1471081
CO-503,Metropolitan Denver Homeless Initiative,5506,4612,894,4031,1475,1083,548,436,30965323.19
CO-504,Colorado Springs/El Paso County CoC,1415,958,457,972,443,374,198,87,1967996.15
CT-503,Bridgeport/Norwalk /Stamford/Fairfield County CoC,778,696,82,430,348,52,48,47,6801433.22
CT-505,Connecticut Balance of State CoC,2610,2276,334,1778,832,368,143,123,35300919.33
DC-500,District of Columbia CoC,7473,6576,897,3583,3890,1881,285,228,26771945.72
DE-500,Delaware Statewide CoC,994,936,58,615,379,127,91,45,8635011
FL-500,"Sarasota/Bradenton/Manatee, Sarasota Counties CoC",1447,785,662,1202,245,285,149,85,2004733
FL-501,Tampa/Hillsborough County CoC,1549,982,567,1070,479,235,172,43,7241044.6
FL-502,St. Petersburg/Clearwater/Largo/Pinellas County CoC,2831,1679,1152,2466,365,690,329,118,10964942.63
FL-503,Lakeland/Winter Haven/Polk County CoC,512,363,149,342,170,77,35,24,891764.25
FL-504,"Daytona Beach/Daytona/Volusia, Flagler Counties CoC",753,305,448,555,198,88,52,37,1507600.99
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC",401,130,271,247,154,112,27,17,574187
FL-506,Tallahassee/Leon County CoC,1072,950,122,810,262,117,110,83,3054456
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",2074,1734,340,1342,732,194,218,95,14117317.6
FL-508,"Gainesville/Alachua, Putnam Counties CoC",819,373,446,699,120,291,126,49,1578854.3
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",1732,183,1549,750,982,57,72,103,1752215.53
FL-510,"Jacksonville-Duval, Clay Counties CoC",1869,1437,432,1444,425,319,125,126,5159188.5
FL-511,Pensacola/Escambia/Santa Rosa County CoC,758,501,257,619,139,135,117,43,1524103
FL-512,Saint Johns County CoC,445,179,266,295,150,42,40,16,175345
FL-513,Palm Bay/Melbourne/Brevard County CoC,845,592,253,583,262,167,210,55,3131666.5
FL-514,Ocala/Marion County CoC,725,290,435,599,126,147,72,54,1202525
FL-515,"Panama City/Bay, Jackson Counties CoC",336,143,193,285,51,38,34,43,455015
FL-517,"Hendry, Hardee, Highlands Counties CoC",609,91,518,377,232,283,16,62,3627
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",502,99,403,372,130,38,43,44,645581.47
FL-519,Pasco County CoC,2593,178,2415,838,1755,847,220,329,839186
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC",635,282,353,444,191,40,57,26,380814.71
FL-600,Miami/Dade County CoC,3721,2710,1011,2546,1175,309,167,141,28049835.97
FL-601,Ft Lauderdale/Broward County CoC,2450,1493,957,2037,413,581,197,154,7599882.16
FL-602,Punta Gorda/Charlotte County CoC,222,89,133,165,57,33,55,7,444446.22
FL-603,Ft Myers/Cape Coral/Lee County CoC,431,244,187,317,114,65,13,23,1646059.27
FL-604,Monroe County CoC,631,339,292,581,50,83,87,26,585776
FL-605,West Palm Beach/Palm Beach County CoC,1607,526,1081,1281,326,252,65,99,6387730.7
FL-606,Naples/Collier County CoC,621,434,187,502,119,90,9,117,282194.43
GA-500,Atlanta Continuum of Care,3572,2891,681,3089,483,346,386,199,26455513.72
GA-501,Georgia Balance of State CoC,3716,1843,1873,2219,1497,242,157,177,3842336.01
GA-502,Fulton County Continuum of Care,293,203,90,217,76,2,19,7,502995.38
GA-503,Athens/Clarke County CoC,239,146,93,182,57,53,9,11,111497.63
GA-504,Augusta-Richmond County CoC,246,199,47,217,29,30,44,4,509596.89
GA-505,Columbus-Muscogee/Russell County CoC,319,246,73,245,74,21,17,13,1328113
GA-506,Marietta/Cobb County CoC,403,285,118,236,167,53,21,9,3262144.3
GA-507,Savannah/Chatham County CoC,926,563,363,751,175,234,38,87,2784195.97
GA-508,DeKalb County CoC,460,275,185,266,194,47,21,19,3868252.38
GU-500,Guam CoC,852,87,765,215,637,64,24,1,1367032.88
HI-500,Hawaii Balance of State CoC,2261,785,1476,1423,838,641,166,109,441507
HI-501,Honolulu CoC,4959,2635,2324,3112,1847,1159,449,210,12236619.68
IA-500,"Sioux City/Dakota, Woodbury Counties CoC",288,286,2,159,129,17,12,6,-20195.75
IA-501,Iowa Balance of State CoC,1792,1742,50,807,985,107,81,95,6877957.38
IA-502,Des Moines/Polk County CoC,676,624,52,534,142,75,78,39,7570954.81
ID-500,Boise/Ada County CoC,833,722,111,671,162,327,124,53,3883122.01
ID-501,Idaho Balance of State,1204,676,528,638,566,109,104,60,786441
IL-500,McHenry County CoC,155,150,5,87,68,5,24,15,1223752.69
IL-501,"Rockford/Winnebago, Boone Counties CoC",291,259,32,178,113,31,23,13,1755884.15
IL-502,Waukegan/North Chicago/Lake County CoC,228,201,27,122,106,18,8,7,955344.09
IL-503,Champaign/Urbana/Rantoul/Champaign County CoC,160,143,17,100,60,11,6,16,477200.32
IL-504,Madison County CoC,176,155,21,51,125,28,10,3,912759.57
IL-506,Joliet/Bolingbrook/Will County CoC,282,251,31,185,97,24,18,13,5892896
IL-507,"Peoria/Perkin/Fulton, Peoria, Tazewell, Woodford CoC",329,293,36,240,89,73,32,23,5769578.21
IL-508,East Saint Louis/Belleville/Saint Clair County CoC,300,154,146,174,126,21,36,5,3158727.89
IL-509,Dekalb City & County CoC,90,87,3,51,39,0,2,3,547270.61
IL-510,Chicago CoC,5657,4096,1561,3724,1933,863,528,277,64889903.2
IL-511,Cook County CoC,780,688,92,508,272,107,53,43,9492919.75
IL-512,Bloomington/Central Illinois CoC,433,392,41,253,180,52,21,53,3301151.35
IL-513,Springfield/Sangamon County CoC,230,219,11,171,59,29,16,8,602439
IL-514,DuPage County CoC,331,316,15,205,126,36,8,48,2580200.71
IL-515,South Central Illinois CoC,108,76,32,44,64,5,3,6,902088
IL-516,Decatur/Macon County CoC,130,114,16,107,23,23,11,5,852549.03
IL-517,Aurora/Elgin/Kane County CoC,360,335,25,266,94,63,21,14,1728794.79
IL-518,Rock Island/Moline/Northwestern Illinois CoC,243,234,9,132,111,0,24,33,1044127.26
IL-519,West Central Illinois CoC,80,80,0,49,31,1,1,9,633699
IL-520,Southern Illinois CoC,435,298,137,247,188,85,19,136,615623.62
IN-502,Indiana Balance of State CoC,3655,3212,443,2340,1315,330,287,221,9635101.92
IN-503,Indianapolis CoC,1783,1657,126,1283,500,207,328,73,11274479.12
KS-502,Wichita/Sedgwick County CoC,575,464,111,395,180,39,57,22,2795012.63
KS-503,Topeka/Shawnee County CoC,356,322,34,247,109,119,61,5,1775949.62
KS-505,Overland Park/Shawnee/Johnson County CoC,130,113,17,34,96,3,1,9,325899.83
KS-507,Kansas Balance of State CoC,1037,895,142,608,429,135,74,50,2178952.79
KY-500,Kentucky Balance of State CoC,1940,1415,525,1326,614,164,161,135,10627236.24
KY-501,Louisville/Jefferson County CoC,1034,883,151,769,265,123,166,53,9701142.73
KY-502,Lexington/Fayette County CoC,1051,1000,51,937,114,118,162,65,2586261
LA-500,Lafayette/Acadiana CoC,357,261,96,226,131,49,36,4,2337462
LA-502,Shreveport/Bossier/Northwest CoC,349,302,47,246,103,31,83,14,4607222.91
LA-503,New Orleans/Jefferson Parish CoC,1301,776,525,1158,143,404,113,118,21759807.8
LA-505,Monroe/Northeast Louisiana CoC,185,160,25,76,109,13,5,16,2404157
LA-506,Slidell/Southeast Louisiana CoC,248,159,89,191,57,26,48,13,1380088.93
LA-507,Alexandria/Central Louisiana CoC,159,98,61,127,32,20,16,2,419147.31
LA-508,Houma-Terrebonne/Thibodaux CoC,116,109,7,34,82,8,12,7,1063471.97
LA-509,Louisiana Balance of State CoC,590,465,125,501,89,67,70,62,15636543.34
MA-500,Boston CoC,6135,5949,186,2492,3643,769,233,190,34369753.67
MA-502,Lynn CoC,582,531,51,151,431,57,0,2,1336348.93
MA-503,Cape Cod/Islands CoC,324,285,39,145,179,47,20,12,840500.05
MA-504,Springfield/Hampden County CoC,2311,2258,53,370,1941,132,14,35,3247910.25
MA-505,New Bedford CoC,352,303,49,174,178,30,46,10,1967412
MA-506,Worcester City & County CoC,1507,1371,136,584,923,89,161,59,7761553.06
MA-507,"Pittsfield/Berkshire, Franklin, Hampshire County CoC",557,502,55,420,137,79,213,28,4037209
MA-508,Lowell CoC,658,646,12,182,476,6,32,14,833056
MA-509,Cambridge CoC,530,463,67,395,135,181,13,30,4015983.69
MA-510,"Gloucester, Haverhill, Salem/Essex County CoC",747,700,47,228,519,195,30,20,2023150.28
MA-511,Quincy/Brockton/Weymouth/Plymouth City and County CoC,1109,1059,50,359,750,143,45,15,5647494.33
MA-515,Fall River CoC,297,278,19,62,235,7,1,1,1649472
MA-516,Massachusetts Balance of State CoC,2080,1911,169,516,1564,144,19,33,1037569.05
MA-517,Somerville CoC,142,120,22,108,34,13,23,11,1300619.02
MA-519,Attleboro/Taunton/Bristol County CoC,234,198,36,81,153,22,3,9,580916
MA-599,"MA-510, MA-516 & MA-518 Shared Jurisdiction",NA,NA,NA,NA,NA,NA,NA,NA,1477853
MD-500,Cumberland/Allegany County CoC,118,88,30,76,42,19,1,4,517660.05
MD-501,Baltimore City CoC,2669,2123,546,2178,491,699,276,81,24959155
MD-502,Harford County CoC,189,152,37,102,87,20,8,8,644447
MD-503,Annapolis/Anne Arundel County CoC,376,263,113,261,115,91,21,14,1875927.48
MD-504,Howard County CoC,168,115,53,93,75,23,6,3,590510.13
MD-505,Baltimore County CoC,609,389,220,397,212,144,32,24,5534812.07
MD-506,Carroll County CoC,147,125,22,106,41,20,8,8,260658
MD-507,Cecil County CoC,193,112,81,139,54,37,39,6,641052
MD-508,"Charles, Calvert, St.Mary's Counties CoC",419,187,232,238,181,79,22,26,1386105
MD-509,Frederick City & County CoC,309,206,103,217,92,74,10,20,248424
MD-510,Garrett County CoC,10,10,0,4,6,3,0,2,237274
MD-511,Mid-Shore Regional CoC,153,136,17,81,72,24,6,8,0
MD-512,Hagerstown/Washington County CoC,208,187,21,164,44,48,40,7,1025152
MD-513,Wicomico/Somerset/Worcester County CoC,260,218,42,212,48,41,32,9,1606232.86
MD-600,Prince George`s County/Maryland CoC,525,437,88,193,332,35,21,20,3706243.34
MD-601,Montgomery County CoC,894,763,131,616,278,163,14,32,8753822.33
ME-500,Maine Balance of State CoC,2280,2100,180,1352,928,201,131,178,14116452.02
MI-500,Michigan Balance of State CoC,1465,1226,239,784,681,55,62,135,1522491.22
MI-501,Detroit CoC,2078,1858,220,1543,535,249,337,134,27112451.97
MI-502,Dearborn/Dearborn Heights/Westland/Wayne County CoC,226,212,14,78,148,8,13,6,1718529
MI-503,St. Clair Shores/Warren/Macomb County CoC,354,290,64,276,78,31,56,15,344745.15
MI-504,Pontiac/Royal Oak/Oakland County CoC,412,365,47,281,131,45,18,38,8264208.69
MI-505,Flint/Genesee County CoC,420,295,125,255,165,42,27,27,1956256.68
MI-506,Grand Rapids/Wyoming/Kent County CoC,912,851,61,614,298,108,92,62,5609689.38
MI-507,Portage/Kalamazoo City & County CoC,479,451,28,244,235,26,18,33,2024899.73
MI-508,Lansing/East Lansing/Ingham County CoC,435,390,45,271,164,45,27,18,15408331.11
MI-509,Ann Arbor/Washtenaw County CoC,302,262,40,242,60,43,38,23,6599970.18
MI-510,Saginaw City & County CoC,388,373,15,188,200,22,15,28,1512029.41
MI-511,Lenawee County CoC,128,128,0,59,69,15,2,5,92538
MI-512,"Grand Traverse, Antrim, Leelanau Counties CoC",228,188,40,167,61,37,18,15,360126
MI-513,"Marquette, Alger Counties CoC",84,81,3,34,50,4,1,4,39592.85
MI-514,Battle Creek/Calhoun County CoC,204,175,29,152,52,22,23,18,294916
MI-515,Monroe City & County CoC,193,190,3,122,71,13,17,14,366370
