name,obligation
DEFENSE SYSTEMS R&D,58790593561
SPACE R&D,24913930133
DEFENSE (OTHER) R&D,18136403700
OTHER R&D,10208334454
MEDICAL R&D,4033038808
GEN. SCIENCE & TECHNOLOGY R&D,1980753317
COMMUNITY SERVICE R&D,415146548
ENVIRONMENTAL PROTECTION R&D,303955091
EDUCATION R & D,270755073
ECONOMIC GROWTH & PRODUCTIVITY R&D,218926826
TRANSPORTATION (OTHER) R&D,169685696
ENERGY R&D,158801605
TRANSPORTATION (MODAL) R&D,75114777
AGRICULTURE R&D,57898334
NATURAL RESOURCES R&D,29985120
SOCIAL SERVICES R&D,10876927
MINING R&D,4677690
INTERNATIONAL AFFAIRS & COOPERATION R&D,260907
HOUSING R&D,22029
INCOME SECURITY R&D,12561